,species,max_height_m,,
82,Eucalyptus_phaenophylla,5,,
81,Eucalyptus_praetermissa,10,,
80,Eucalyptus_pruiniramis,4,,
79,Eucalyptus_stowardii,5,,
78,Eucalyptus_accedens,25,,
77,Eucalyptus_tumida,3,,
76,Eucalyptus_salubris,15,,
75,Eucalyptus_creta,10,,
74,Eucalyptus_effusa,4,,
73,Eucalyptus_terebra,12,,
72,Eucalyptus_campaspe,10,,
71,Eucalyptus_jimberlanica,no_info_yet,,
70,Eucalyptus_ravida,10,,
69,Eucalyptus_diptera,10,,
68,Eucalyptus_protensa,10,,
67,Eucalyptus_grossa,3,,
66,Eucalyptus_carnei,6,,
65,Eucalyptus_thamnoides,4,(mean of subsp),
64,Eucalyptus_tortilis,8,,
63,Eucalyptus_xanthonema,4,(mean of subsp),
62,Eucalyptus_laeliae,15,,
61,Eucalyptus_trivalvis,5,,
60,Eucalyptus_wubinensis,8,,
59,Eucalyptus_articulata,3,,
58,Eucalyptus_zopherophloia,4,,
57,Eucalyptus_loxophleba,11,(mean of subsp),
56,Eucalyptus_livida,5,,
55,Eucalyptus_pluricaulis,4,,
54,Eucalyptus_abdita,3,,
53,Eucalyptus_cyclostoma,3,,
52,Eucalyptus_densa,7,(mean of subsp),
51,Eucalyptus_gardneri,13,(mean of subsp),
50,Eucalyptus_brachyphylla,4,,
49,Eucalyptus_kruseana,3,,
48,Eucalyptus_extensa,12,,
47,Eucalyptus_stricklandii,9,,
46,Eucalyptus_semota,8,,
45,Eucalyptus_talyuberlup,10,,
44,Eucalyptus_erythronema,6,(mean of subsp),
43,Eucalyptus_utilis,7,,
42,Eucalyptus_blaxellii,3,,
41,Eucalyptus_astringens,10,(mean of subsp),
40,Eucalyptus_subtilis,3,,
39,Eucalyptus_cerasiformis,3,,
38,Eucalyptus_whitei,15,,
37,Eucalyptus_vegrandis,6,(mean of subsp),
36,Eucalyptus_alipes,8,,
35,Eucalyptus_goniocarpa,7,,
34,Eucalyptus_desmondensis,6,,
